iter	Passed	Remaining
405	6873	1591
406	6889	1574
407	6906	1557
408	6922	1540
409	6937	1522
410	6954	1506
411	6973	1489
412	6993	1473
413	7007	1455
414	7024	1438
415	7038	1421
416	7055	1404
417	7073	1387
418	7090	1370
419	7106	1353
420	7121	1336
421	7137	1319
422	7153	1302
423	7168	1284
424	7183	1267
425	7200	1250
426	7215	1233
427	7233	1216
428	7251	1200
429	7267	1183
430	7283	1166
431	7300	1149
432	7317	1132
433	7334	1115
434	7350	1098
435	7366	1081
436	7381	1064
437	7397	1047
438	7413	1030
439	7429	1013
440	7446	996
441	7463	979
442	7477	962
443	7493	945
444	7510	928
445	7527	911
446	7545	894
447	7562	877
448	7577	860
449	7594	843
450	7612	827
451	7627	810
452	7645	793
453	7661	776
454	7675	759
455	7692	742
456	7707	725
457	7726	708
458	7742	691
459	7760	674
460	7777	657
461	7793	641
462	7811	624
463	7825	607
464	7845	590
465	7860	573
466	7877	556
467	7893	539
468	7910	522
469	7927	506
470	7943	489
471	7959	472
472	7976	455
473	7995	438
474	8011	421
475	8029	404
476	8046	387
477	8060	370
478	8074	353
479	8091	337
480	8106	320
481	8120	303
482	8136	286
483	8152	269
484	8168	252
485	8184	235
486	8200	218
487	8215	202
488	8230	185
489	8247	168
490	8263	151
491	8280	134
492	8296	117
493	8316	101
494	8332	84
495	8349	67
496	8365	50
497	8381	33
498	8397	16
499	8413	0
