sim_id,income_shock,debt_shock,late_event_prob,auc_roc,f1,recall,precision,default_rate_pred,mean_pd
0,0.8088562576828409,1.2076260410594064,0.03743651483749309,0.8600084812546148,0.4084328168656337,0.6031507876969242,0.3087557603686636,0.1302,0.08919404286165952
1,0.8161424820203855,1.0061477856014536,0.04582221960885557,0.8605247551240678,0.42523768366465,0.5536384096024006,0.3451824134705332,0.1069,0.07722738306139126
2,0.8690794066137402,1.1360242100101936,0.07102961982809305,0.8598345279253868,0.4116413214472994,0.5888972243060765,0.3164046755340588,0.12405,0.08578862094605505
3,0.8929053328257632,1.1368492372054846,0.042572259776784575,0.8598729274647371,0.4135720010686615,0.5806451612903226,0.3211618257261411,0.1205,0.08394176279268023
4,0.719104596506127,1.1234757303173644,0.04540281508779222,0.8593269949243886,0.4098146697990081,0.5888972243060765,0.3142514011208967,0.1249,0.08663816097323757
5,0.914013273859903,1.1453455653906037,0.012931068241601503,0.8601076047122885,0.4155139679956604,0.5746436609152288,0.3254035683942226,0.1177,0.0821423538381359
6,0.737358778207936,1.3274787329783675,0.020365937960196846,0.859378576095248,0.40283203125,0.6189047261815454,0.2985884907709012,0.13815,0.09310650189226424
7,0.824482148609837,1.3123559050298779,0.03821111607731623,0.8588633672051699,0.40226210966314235,0.6136534133533383,0.2991953182150695,0.1367,0.09305817986890924
8,0.9168227437917947,1.301073222872534,0.014401524449748349,0.8603011094553249,0.40772200772200773,0.5941485371342836,0.3103448275862069,0.1276,0.0879001622174387
9,0.8372707396318136,1.0462392851945428,0.03957823695618093,0.8598275553245733,0.4156059767570559,0.5633908477119279,0.3292415607189829,0.11405,0.08111487729069312
10,0.8357781038084451,1.0249305939714537,0.04516102963059058,0.859907348401894,0.41998306519898393,0.5581395348837209,0.33665158371040727,0.1105,0.07943861069396849
11,0.9949113065998607,1.165679538032254,0.06164999816664624,0.8598538583057399,0.4192477876106195,0.568642160540135,0.3320192728865528,0.11415,0.0800901833202008
12,0.8981189814813317,1.2097383938606554,0.07071717222193474,0.8593670019797766,0.4119618458365558,0.5993998499624906,0.31382560879811466,0.1273,0.08759413201209604
13,0.9218436717522082,1.142741438483446,0.048421558150092414,0.8598259478085357,0.4145021645021645,0.5746436609152288,0.32416419805332203,0.11815,0.08270879906518937
14,0.8837683904693905,1.1254345739065927,0.07923653459560717,0.8593795205109199,0.4125465178096757,0.582145536384096,0.3194730341704405,0.12145,0.08506153156231028
15,0.8610000405922941,1.3289689299575553,0.027683333181775176,0.8597895576642325,0.40418639421878894,0.6084021005251313,0.30261194029850746,0.134,0.09130958286882555
16,0.7138099681690196,1.036779889659396,0.035936845955506135,0.86109474012313,0.41846490030046435,0.5746436609152288,0.3290378006872852,0.1164,0.08150559970553234
17,0.7891884030959945,1.1220406572531483,0.014295925574364841,0.8605287538202115,0.413262599469496,0.5843960990247562,0.31965531391054575,0.12185,0.08471997760446463
18,0.8568753687990496,1.258699640407036,0.05761651202726636,0.8592603231967256,0.40867810292633705,0.6076519129782446,0.30786773090079816,0.13155,0.0912396471739478
19,0.7145922825749571,1.0093374101742276,0.012653664452492167,0.8609731918167306,0.4273894436519258,0.5618904726181545,0.34484346224677714,0.1086,0.07780792446580838
20,0.7391775894421194,1.0366892769445313,0.019956953468659614,0.8603220473517157,0.4198008849557522,0.5693923480870218,0.3324572930354796,0.11415,0.08054154156954388
21,0.7702356330856003,1.0004480193637055,0.02737032310697393,0.8611736892545309,0.42944074181396696,0.5558889722430608,0.34985835694050993,0.1059,0.07644158492721595
22,0.8322369300841241,1.292805781563656,0.04428119106777154,0.8601251266370993,0.4051574510290107,0.6129032258064516,0.3025925925925926,0.135,0.09245568705136001
23,0.8894928655101464,1.2903152837610736,0.07379608428951122,0.8599719504526584,0.4075,0.6114028507126782,0.3055868016497938,0.13335,0.09130808550881425
