candidate,dataset,model,n_rows,n_features,cv_auc_mean,cv_auc_std,val_best_f1,best_threshold,test_auc_roc,test_precision,test_recall,test_f1_score,test_accuracy,leaderboard_score
gmsc::catboost,gmsc,catboost,99999,24,0.8655052834466688,0.004538009364493866,0.4083769633507853,0.2,0.862505898076812,0.3747936158503027,0.5108777194298575,0.43238095238095237,0.9106,0.6290735925218275
gmsc::xgboost,gmsc,xgboost,99999,24,0.86440988801955,0.004858994001284512,0.3726435773783428,0.6000000000000003,0.8598705362846311,0.2719665271966527,0.6826706676669168,0.3889720025646506,0.85705,0.6273803211987821
home_credit::xgboost,home_credit,xgboost,200000,31,0.7461778314592298,0.005066390061738553,0.29796279893711247,0.6000000000000003,0.7503131950092491,0.2076738001772825,0.5050816137973514,0.29432878679109836,0.8034,0.5181364465481317
home_credit::catboost,home_credit,catboost,200000,31,0.7477491801928302,0.005151438235261745,0.27612412919569346,0.2,0.7513379652751594,0.29621087314662276,0.27687095780720666,0.2862145813435212,0.8879,0.4956180043527764
