split,auc_roc,pr_auc,brier,auc_gap_vs_train,pr_gap_vs_train
train_v2,0.8110776632475183,0.29690731147619454,0.1533331261111136,0.0,0.0
val_v2,0.7655521393471191,0.27961527416105514,0.07675021216278771,0.04552552390039921,0.017292037315139397
test_v2,0.7623490931509472,0.2921366247651866,0.08203189596504748,0.048728570096571056,0.004770686711007943
