model,auc_roc,pr_auc,accuracy_secondary,threshold,expected_loss_validation,rank_pr_auc
winner_v1_core,0.7386064927015108,0.21836682959087877,0.8661875,0.6599999999999997,,2.0
winner_v2_full,0.7623490931509472,0.2921366247651866,0.7787246037424922,0.14,3013.2543313745473,1.0
