threshold,accuracy,precision,recall,f1,expected_loss
0.05,0.4968232972656504,0.1439405372773921,0.8808589240360194,0.2474460839954597,3824.419411496845
0.060000000000000005,0.5556519287898172,0.15534229046705053,0.8409143384899561,0.26224078341013823,3570.8144502027453
0.07,0.6077802112019429,0.1680741205423925,0.8042022627568691,0.2780394348207871,3350.8250753518228
0.08000000000000002,0.6513433224190646,0.17908653846153846,0.7568690833525744,0.28963993814888445,3226.8035648459354
0.09000000000000001,0.6884879762343604,0.19102161463144282,0.716231817132302,0.3016042780748663,3122.0536895288074
0.1,0.7200598477784765,0.2021801013677706,0.6723620410990533,0.3108786164193445,3066.5318646052433
0.11000000000000001,0.7468178762712232,0.21484587312679557,0.6388824751789425,0.3215572341661824,3006.179933647028
0.12000000000000001,0.7694776329769933,0.2267048412285268,0.6033248672362042,0.32957053667150155,2980.956046577184
0.13,0.7884294294945465,0.23807684881251207,0.5693835141999538,0.3357614541493635,2974.9550057462543
0.14,0.8041936812888957,0.2493331910807639,0.5395982452089587,0.3410683012259194,2975.5404731443937
0.15000000000000002,0.8169221762040029,0.2582882671055725,0.5072731470791965,0.34229181272883075,3005.7408330984235
0.16000000000000003,0.8299325628293254,0.27021722062287357,0.4767951974139921,0.3449427879395306,3027.4031268295857
0.17000000000000004,0.8403408721295834,0.2802898550724638,0.44654814130685755,0.3444038821120114,3065.8000303575686
0.18000000000000005,0.8497517184552335,0.2910903827597298,0.417917340106211,0.3431604891458906,3105.123923932606
0.19,0.8565604874558189,0.29950842696629215,0.39390441006695914,0.34028124065024434,3145.4235965045427
0.2,0.8630006288353536,0.3083895853423336,0.36919879935349803,0.3360655737704918,3190.699741960665
0.21000000000000002,0.8679879437083938,0.3143098710632002,0.3433387208496883,0.32818362392407857,3249.929527072446
0.22000000000000003,0.873170414380814,0.3239795918367347,0.3225583006234126,0.3232673840101816,3289.5949432963985
0.23000000000000004,0.8778975215213479,0.3337595907928389,0.30131609328099745,0.31670913724062616,3333.9928876553113
0.24000000000000005,0.8816922176204003,0.3423044575273339,0.28192103440314015,0.30919220055710306,3378.04930936531
0.25000000000000006,0.8849881822321487,0.34989200863930886,0.26183329485107365,0.29952456418383516,3427.9604050567036
0.26000000000000006,0.8885877225318213,0.3628017681060864,0.24636342646040174,0.29345434543454346,3459.234121907323
0.27,0.8916668473664809,0.37560793116348673,0.23181713230200876,0.2866933181039406,3490.7029945573217
0.28,0.8935316694494438,0.38169186759297097,0.2156545832371277,0.27559752139274124,3536.174295812824
0.29000000000000004,0.8956566992649132,0.3922973578145992,0.20226275686908335,0.26691042047531993,3569.936249105536
0.30000000000000004,0.8970011058828632,0.39825157843613407,0.1893327176171785,0.2566510172143975,3607.308584686775
0.31000000000000005,0.898367196478522,0.40440386680988183,0.17386284922650658,0.24317778136605844,3653.6580870394864
0.32000000000000006,0.9001669666283583,0.4190871369294606,0.163241745555299,0.23496178132269857,3679.66259730685
0.33,0.901056009714422,0.42516129032258065,0.15215885476795196,0.22411154565550076,3713.473339549407
0.34,0.9017932649565237,0.42948717948717946,0.1392288155160471,0.21028770706190061,3754.9439469176227
0.35000000000000003,0.9028991478196761,0.4427123928293063,0.13114754098360656,0.20235126469540435,3776.5086627490946
0.36000000000000004,0.9033545113515623,0.4467005076142132,0.12191179866081736,0.19154725194993652,3806.6114448034346
0.37000000000000005,0.9041134505713728,0.45751633986928103,0.11313784345416762,0.1814142910033321,3833.006266669558
0.38000000000000006,0.9048940737688922,0.4708994708994709,0.10274763334102978,0.16868840030326004,3865.0606067176964
0.39000000000000007,0.9052843853676519,0.47871116225546606,0.09605172015700762,0.16,3886.4789556996334
0.4000000000000001,0.9055012251447405,0.4829329962073325,0.0882013391826368,0.1491604841858649,3913.2153002146715
0.4100000000000001,0.9058264848103736,0.49166666666666664,0.08173631955668437,0.14017026331419521,3934.243337597849
0.42000000000000004,0.905934904698918,0.4947049924357035,0.07550219348880166,0.1310096153846154,3955.905631329011
0.43000000000000005,0.9061517444760067,0.5025295109612141,0.06880628030477949,0.12103980503655565,3978.4949151072274
0.44000000000000006,0.9062384803868422,0.5064695009242144,0.06326483491110597,0.11247947454844007,3997.815339245831
0.45000000000000007,0.9063469002753866,0.5122950819672131,0.057723389517432465,0.10375596596804317,4016.9893965349
0.4600000000000001,0.9069540516512349,0.545662100456621,0.05518356037866543,0.1002306563220801,4022.014658368931
0.4700000000000001,0.9071492074506148,0.5620253164556962,0.05125836989148003,0.09394837071519255,4034.7973632283106
0.4800000000000001,0.9070624715397793,0.5619834710743802,0.04710228584622489,0.08691947166595654,4050.3122492790076
0.49000000000000005,0.906932367673526,0.5589123867069486,0.04271530824290002,0.07936507936507936,4066.949281176139
0.5000000000000001,0.9068673157403995,0.5612244897959183,0.038097437081505425,0.07135135135135136,4083.9766246720296
0.5100000000000001,0.9068889997181083,0.5703422053231939,0.03463403371045948,0.06530256856769699,4096.27144003296
0.5200000000000001,0.9069540516512349,0.5847457627118644,0.03186331101362272,0.06043354499671557,4105.785285252727
0.5300000000000001,0.9069974196066527,0.5972222222222222,0.02978526899099515,0.05674070815922586,4112.957260879936
0.5400000000000001,0.9071708914283236,0.6288659793814433,0.028169014084507043,0.05392265193370166,4117.592211115207
0.5500000000000002,0.907105839495197,0.6312849162011173,0.026090972061879474,0.050110864745011086,4125.49602099009
0.5600000000000002,0.9072359433614502,0.6687898089171974,0.024243823597321634,0.04679144385026738,4131.253117071796
0.5700000000000002,0.9073877312054123,0.717391304347826,0.022858462248903255,0.04430521369433878,4135.205022009237
0.5800000000000002,0.907257627339159,0.7213114754098361,0.020318633110136226,0.039523916460812936,4145.206756727454
0.5900000000000002,0.9071492074506148,0.7289719626168224,0.01800969752943893,0.03515096890491212,4154.232712448772
0.6000000000000002,0.9070624715397793,0.7319587628865979,0.01639344262295082,0.032068654019873535,4160.6240648784615
0.6100000000000001,0.9069106836958172,0.7159090909090909,0.01454629415839298,0.028513238289205704,4168.28393000412
0.6200000000000001,0.9068239477849817,0.7073170731707317,0.013391826368044332,0.026285973260820304,4173.016458139081
0.6300000000000001,0.9067588958518551,0.7123287671232876,0.012006465019625953,0.023614895549500452,4178.432031571871
0.6400000000000001,0.906607108007893,0.6875,0.010159316555068113,0.020022753128555178,4186.0918966975305
0.6500000000000001,0.9065420560747663,0.6909090909090909,0.008773955206649734,0.017327861377108983,4191.507470130321
0.6600000000000001,0.9064553201639308,0.6888888888888889,0.007157700300161625,0.01416819012797075,4197.898822560011
0.6700000000000002,0.9064770041416398,0.7368421052631579,0.0064650196259524355,0.012817578393224994,4200.240692152568
0.6800000000000002,0.9064119522085131,0.7272727272727273,0.005541445393673516,0.010999083409715857,4203.99744129063
0.6900000000000002,0.9063902682308043,0.75,0.004848764719464327,0.009635237439779766,4206.6320445822585
0.7000000000000002,0.9063685842530954,0.782608695652174,0.004156084045255137,0.008268259072117593,4209.266647873886
0.7100000000000002,0.9063469002753866,0.8,0.0036942969291156777,0.007354631119282923,4211.071839018149
0.7200000000000002,0.9063469002753866,0.875,0.0032325098129762178,0.00644122383252818,4212.730663312878
0.7300000000000002,0.9063035323199687,0.8571428571428571,0.002770722696836758,0.005523590333716916,4214.682221306676
0.7400000000000002,0.9062818483422599,0.8461538461538461,0.002539829138767028,0.0050644567219152855,4215.658000303576
0.7500000000000002,0.9062167964091333,0.875,0.0016162549064881089,0.0032265498962894676,4219.4147494416375
0.7600000000000002,0.9062167964091333,0.875,0.0016162549064881089,0.0032265498962894676,4219.4147494416375
0.7700000000000002,0.9062167964091333,0.875,0.0016162549064881089,0.0032265498962894676,4219.4147494416375
0.7800000000000001,0.9061734284537155,0.8333333333333334,0.0011544677903486493,0.002305741295826608,4221.366307435436
0.7900000000000001,0.9061734284537155,1.0,0.0009235742322789194,0.001845444059976932,4222.1957195828
0.8000000000000002,0.9061300604982978,1.0,0.0004617871161394597,0.0009231479344564967,4224.147277576599
0.8100000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8200000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8300000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8400000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8500000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8600000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8700000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8800000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.8900000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.9000000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.9100000000000003,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.9200000000000003,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.9300000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.9400000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
0.9500000000000002,0.9060866925428801,0.0,0.0,0.0,4226.098835570397
