threshold,accuracy,precision,recall,f1,reject_rate,expected_loss,tn,fp,fn,tp
0.05,0.09391330745711994,0.09391330745711994,1.0,0.17170155407548365,1.0,6116.08517466444,0,41786,0,4331
0.060000000000000005,0.09391330745711994,0.09391330745711994,1.0,0.17170155407548365,1.0,6116.08517466444,0,41786,0,4331
0.07,0.09391330745711994,0.09391330745711994,1.0,0.17170155407548365,1.0,6116.08517466444,0,41786,0,4331
0.08000000000000002,0.09391330745711994,0.09391330745711994,1.0,0.17170155407548365,1.0,6116.08517466444,0,41786,0,4331
0.09000000000000001,0.09391330745711994,0.09391330745711994,1.0,0.17170155407548365,1.0,6116.08517466444,0,41786,0,4331
0.1,0.09391330745711994,0.09391330745711994,1.0,0.17170155407548365,1.0,6116.08517466444,0,41786,0,4331
0.11000000000000001,0.09393499143482881,0.09391534391534391,1.0,0.1717049576783555,0.9999783160222911,6115.938807814906,1,41785,0,4331
0.12000000000000001,0.09493245440943687,0.09400911656175386,1.0,0.1718616694113212,0.998980853047683,6109.205932736301,47,41739,0,4331
0.13,0.09931261790662879,0.09442312723467342,1.0,0.172553238112313,0.9946006895504912,6079.639829130256,249,41537,0,4331
0.14,0.10724895374807554,0.09516483516483516,0.9997691064419303,0.17378740141678875,0.9866209857536267,6026.898974347854,616,41170,1,4330
0.15000000000000002,0.11904503762170132,0.09620861516553934,0.9983837450935119,0.17550481988838154,0.9745646941474945,5952.251881085066,1166,40620,7,4324
0.16000000000000003,0.13374677450831582,0.09755491277230408,0.9967674901870238,0.1777164851902929,0.9595593815729557,5858.821042131969,1851,39935,14,4317
0.17000000000000004,0.1499447058568424,0.0990456479245717,0.9944585546063265,0.18014890413250795,0.9429277706702518,5757.7791270030575,2608,39178,24,4307
0.18000000000000005,0.16833271895396493,0.10084704005255872,0.9923805125836989,0.1830883919062833,0.9241494459743695,5641.124747923759,3465,38321,33,4298
0.19,0.18611358067523906,0.10238785236988959,0.9870699607480952,0.1855307698984463,0.9053711212784873,5540.180410694537,4308,37478,56,4275
0.2,0.20521716503675433,0.10434314253537678,0.9840683444931886,0.18868008057197247,0.8857037534965414,5422.013574170046,5202,36584,69,4262
0.21000000000000002,0.22386538586638333,0.10613420130195293,0.9787577926575849,0.19150233787355153,0.8660580696923044,5315.21456295943,6085,35701,92,4239
0.22000000000000003,0.24359780558145586,0.10830769230769231,0.9752943892865389,0.19496434423392028,0.8456751306459657,5194.461912093155,7010,34776,107,4224
0.23000000000000004,0.2616171910575276,0.11027772678398154,0.970907411683214,0.19805944138288353,0.8268317540169569,5088.589890929592,7860,33926,126,4205
0.24000000000000005,0.28028709586486544,0.11232604373757456,0.9653659662895405,0.2012369744663442,0.8071210182795933,4982.473925016805,8745,33041,150,4181
0.25000000000000006,0.29817637747468395,0.11455440371765611,0.9619025629184945,0.20472750503710255,0.7885812173385086,4874.162456360995,9585,32201,165,4166
0.26000000000000006,0.31511156406531216,0.11668073136427567,0.9577464788732394,0.20801885609688825,0.770865407550361,4774.779365526812,10384,31402,183,4148
0.27,0.3322202224776113,0.11867093167343881,0.9508196721311475,0.2110063537610166,0.7524557104755296,4684.178285664722,11203,30583,213,4118
0.28,0.3492638289567838,0.12079506187424319,0.9443546525051951,0.2141921969101859,0.7341978012446603,4592.357482056508,12017,29769,241,4090
0.29000000000000004,0.3651798685950951,0.12299368255599552,0.9395058877857307,0.21751216122307157,0.7173710345425764,4502.341869592558,12772,29014,262,4069
0.30000000000000004,0.3809658043671531,0.125158653994985,0.9335026552759178,0.2207239176721079,0.7004575319296572,4417.351518962639,13526,28260,288,4043
0.31000000000000005,0.3957542771646031,0.12703242369497006,0.9254213807434772,0.22339891867788864,0.6841511806925863,4346.558752737602,14243,27543,323,4008
0.32000000000000006,0.41067285382830626,0.12914326526637016,0.9184945740013853,0.22644731599020892,0.6679315653663508,4270.740724678535,14961,26825,353,3978
0.33,0.42565648242513604,0.13147039254823686,0.9124913414915724,0.22982757116687505,0.6518203699286597,4191.165947481406,15678,26108,379,3952
0.34,0.44035821931175056,0.13403080697928027,0.9081043638882476,0.2335857461024499,0.6362946418891081,4107.68805429668,16375,25411,398,3933
0.35000000000000003,0.45304334627144005,0.13607385472914127,0.9018702378203648,0.23646930621140574,0.6224385801331396,4044.4575752976125,16987,24799,425,3906
0.36000000000000004,0.466660884272611,0.13844781445138268,0.8958670053105519,0.23983187044134008,0.6076934752911074,3974.1039096211807,17641,24145,451,3880
0.37000000000000005,0.47919422338833834,0.14047262500456553,0.888016624336181,0.24257332071901608,0.5936856256911768,3917.7038836004076,18253,23533,485,3846
0.38000000000000006,0.49235639785762303,0.1430442265958243,0.8827060725005772,0.24619248478603858,0.5795259882472841,3847.9356853221157,18883,22903,508,3823
0.39000000000000007,0.5048246850402238,0.144940327717871,0.8720849688293697,0.24856860809476802,0.5650627751154672,3801.9277056183187,19504,22282,554,3777
0.4000000000000001,0.5158401457163302,0.14677134445534837,0.8633110136227199,0.2508890827350198,0.5523993321334866,3759.091007654444,20050,21736,592,3739
0.4100000000000001,0.527462757768285,0.1489686783804431,0.8554606326483492,0.25374974316827614,0.5393022095973286,3708.838389314136,20620,21166,626,3705
0.42000000000000004,0.5389118979985689,0.15177065767284992,0.8519972292773031,0.2576455802262254,0.5272025500357785,3643.9978749701845,21163,20623,641,3690
0.43000000000000005,0.550144198451764,0.1537942379887797,0.8418379127222351,0.2600756116698766,0.5140620595442028,3604.673981395147,21725,20061,685,3646
0.44000000000000006,0.5617668105037188,0.15634333203480066,0.8339875317478642,0.26332288401253917,0.5009649370080448,3554.421363054839,22295,19491,719,3612
0.45000000000000007,0.5731942667562938,0.15887476668740558,0.8254444700992842,0.26646293742779414,0.4879328664050133,3507.9742828024373,22859,18927,756,3575
0.4600000000000001,0.5837326799228051,0.1613975947521866,0.8180558762410529,0.26960392649240955,0.47600667866513435,3463.3811826441442,23377,18409,788,3543
0.4700000000000001,0.5948782444651647,0.16404494382022472,0.8090510274763334,0.27278035109571447,0.46316976386148273,3420.495695730425,23930,17856,827,3504
0.4800000000000001,0.6055033935425115,0.16671475283708406,0.8005079658277534,0.27595813268595537,0.45094000043367954,3379.464188910814,24457,17329,864,3467
0.49000000000000005,0.6166489580848711,0.16957124467769086,0.7908104363888248,0.27926128256349625,0.43797298176377475,3339.066938439187,25013,16773,906,3425
0.5000000000000001,0.6270138994297114,0.17181762545899631,0.7778803971369199,0.28146539120264,0.4251794349155409,3315.550664613917,25547,16239,962,3369
0.5100000000000001,0.6370102131535009,0.1743215579234686,0.7667975063495729,0.2840646651270208,0.4131014593316998,3287.887330051825,26056,15730,1010,3321
0.5200000000000001,0.6471366307435436,0.17703375162267418,0.7557146155622259,0.28686620798457424,0.4008933798816055,3259.345794392523,26571,15215,1058,3273
0.5300000000000001,0.6572196803781686,0.1797175866495507,0.7434772569845302,0.28946422150305645,0.3885118286098402,3235.244053169113,27089,14697,1111,3220
0.5400000000000001,0.6675195697898822,0.18293948126801152,0.7328561533133225,0.2927909229279092,0.3762170132489104,3203.8727584188046,27610,14176,1157,3174
0.5500000000000002,0.6773424116920008,0.18613507884558167,0.7222350496421149,0.2959878879636639,0.36439924539757573,3175.7215343582625,28109,13677,1203,3128
0.5600000000000002,0.6861461066418024,0.18911297738000368,0.7123066266451166,0.2988761867855067,0.35373072836481123,3151.9613157837675,28558,13228,1246,3085
0.5700000000000002,0.6957737927445411,0.19258320126782885,0.7014546294158392,0.30219834875161644,0.34206474835743866,3125.956805516404,29049,12737,1293,3038
0.5800000000000002,0.7046642236051781,0.19550252409362093,0.6885245901639344,0.30453431372549017,0.3307457119934081,3112.393477459505,29515,12271,1349,2982
0.5900000000000002,0.7146822213066765,0.19998640473115356,0.6792888478411452,0.30900115534082556,0.31899299607520004,3077.948478868964,30017,11769,1389,2942
0.6000000000000002,0.7243099074094151,0.20380185145926083,0.6658970214731009,0.3120874364246294,0.3068499685582323,3061.067502222608,30519,11267,1447,2884
0.6100000000000001,0.7335472819133942,0.20787135619355313,0.6536596628954052,0.3154317548746518,0.295314092417113,3042.674068131058,30998,10788,1500,2831
0.6200000000000001,0.7417655094650563,0.21107213664785726,0.6391133687370122,0.3173402120951562,0.28436368367413317,3039.4539974412905,31440,10346,1563,2768
0.6300000000000001,0.7502873127046426,0.21553567186633937,0.6284922650658047,0.32099056603773585,0.2738469544853308,3020.084784352842,31879,9907,1609,2722
0.6400000000000001,0.7589825877658998,0.2204549200593374,0.6176402678365274,0.32493167324628,0.2631133855194397,3000.374048615478,32327,9459,1656,2675
0.6500000000000001,0.7674176550946505,0.2251353906988739,0.6047102285846225,0.3281132548233525,0.25224971268729535,2989.884424398812,32772,9014,1712,2619
0.6600000000000001,0.7753539909360974,0.22966550085194154,0.5913184022165782,0.33083580932696033,0.24179803543161957,2984.4200620161764,33196,8590,1770,2561
0.6700000000000002,0.7836806383763038,0.23470250963436412,0.5765412145001154,0.3336005344021376,0.23069583884467768,2981.297569226099,33644,8142,1834,2497
0.6800000000000002,0.7909230869310666,0.23829703360599191,0.5583006234126068,0.3340240364691256,0.22002732181191317,2997.93460112323,34057,7729,1913,2418
0.6900000000000002,0.7977969078647787,0.24177869700103413,0.5398291387670284,0.3339761445611028,0.20968406444478174,3017.8892816098187,34454,7332,1993,2338
0.7000000000000002,0.8049959884641239,0.24629952111449718,0.5225121219117986,0.3347880760411273,0.19923238718910596,3031.5013986165623,34861,6925,2068,2263
0.7100000000000002,0.8125636966845198,0.25226881102814475,0.5070422535211268,0.3369131635471003,0.1887590259557213,3035.9899820022983,35277,6509,2135,2196
0.7200000000000002,0.8204349805928399,0.25902879453391897,0.4901870237820365,0.3389478725951944,0.17772188130190603,3043.405902378732,35713,6073,2208,2123
0.7300000000000002,0.8284363683674133,0.2671348679932371,0.47425536827522513,0.34176372712146424,0.16672810460350848,3046.6259730684997,36151,5635,2277,2054
0.7400000000000002,0.8363510202311512,0.27616926503340755,0.458092819210344,0.34459400781589233,0.15577769586052864,3051.260923303771,36586,5200,2347,1984
0.7500000000000002,0.8421840102348375,0.281022440184277,0.43661971830985913,0.3419529837251356,0.1459114860029924,3089.0235704837696,36948,4838,2440,1891
0.7600000000000002,0.8487976234360431,0.2884368994234465,0.41583929808358344,0.3406146572104019,0.13539475681419,3119.0287746384197,37343,4443,2530,1801
0.7700000000000002,0.8555196565257931,0.2979202772963605,0.3969060263218656,0.34036234036234037,0.12511655138018518,3141.666847366481,37735,4051,2612,1719
0.7800000000000001,0.861092438796973,0.30361537005489303,0.3703532671438467,0.3336800499271895,0.11455645423596504,3199.432963982913,38107,3679,2727,1604
0.7900000000000001,0.8666435370904438,0.3118146079039934,0.34795659201108287,0.32889567874290704,0.10479866426697314,3242.4160287963223,38460,3326,2824,1507
0.8000000000000002,0.8724765270941301,0.3227355901189387,0.3257908104363888,0.324256003676893,0.09480235054318364,3282.666912418414,38825,2961,2920,1411
0.8100000000000002,0.8772470021900818,0.33121827411167515,0.30131609328099745,0.31556039173014144,0.08543487217295141,3338.383893141358,39151,2635,3026,1305
0.8200000000000002,0.8826896805950083,0.3454597536522486,0.2784576310320942,0.3083610329838916,0.07569876618166836,3383.75761649717,39501,2285,3125,1206
0.8300000000000002,0.8875035236463777,0.36074098147546313,0.25629184945740013,0.2996760259179266,0.0667215994101958,3430.8877420474014,39819,1967,3221,1110
0.8400000000000002,0.8917535832773164,0.3756115920210764,0.23043177095359038,0.28563251287922153,0.057614328772470025,3495.094000043368,40127,1659,3333,998
0.8500000000000002,0.8947459722011406,0.3851559068950373,0.2024936504271531,0.2654358353510896,0.04937441724309907,3575.2542446386365,40386,1400,3454,877
0.8600000000000002,0.8983238285231043,0.40677083333333336,0.18032786885245902,0.24988001919692848,0.04163323720103216,3630.7272806123556,40647,1139,3550,781
0.8700000000000002,0.9011210616475486,0.42720915448188174,0.15516047102285846,0.22764227642276422,0.03410889693605395,3702.251881085066,40885,901,3659,672
0.8800000000000002,0.9032460914630179,0.447808764940239,0.12976217963518819,0.20121732903687792,0.027213392024633,3779.1432660407227,41093,693,3769,562
0.8900000000000002,0.9048507058134744,0.46977730646871685,0.10228584622489033,0.16799393249905195,0.020447990979465272,3867.0121647114947,41286,500,3888,443
0.9000000000000002,0.9061517444760067,0.5021897810218978,0.07942738397598707,0.1371610845295056,0.014853524730576577,3940.3419563284688,41445,341,3987,344
0.9100000000000003,0.9071708914283236,0.5543478260869565,0.05887785730778111,0.10644959298685035,0.009974629746080621,4007.2803955157533,41581,205,4076,255
0.9200000000000003,0.907279311316868,0.5925925925925926,0.04063726622027245,0.07605877268798616,0.006440141379534661,4072.0721209098597,41665,121,4155,176
0.9300000000000002,0.9073226792722857,0.6748466257668712,0.025398291387670285,0.04895416110369381,0.003534488366545959,4126.520588936834,41733,53,4221,110
0.9400000000000002,0.906780579829564,0.6951219512195121,0.013160932809974601,0.02583276682528892,0.001778086172127415,4174.138603985515,41761,25,4274,57
0.9500000000000002,0.906433636186222,0.75,0.005541445393673516,0.011001604400641761,0.0006938872866838693,4203.851074441095,41778,8,4307,24
