model,cv_auc_mean,cv_auc_std,cv_pr_auc_mean,cv_pr_auc_std
cat_1,0.7718790903517344,0.004148342399562938,0.24745163199150055,0.0074710003950638135
cat_0,0.7702419333070988,0.00420543955248955,0.24660319653624488,0.008173428785552347
xgb_2,0.770965475606562,0.0040466029673266795,0.24525303074616597,0.007441995988602838
hgb_0,0.7693563115812356,0.004604792811492496,0.24478046790895144,0.007523693198084458
hgb_1,0.7690579332264583,0.004758861278448321,0.24450503229245601,0.008395975823029683
xgb_1,0.7698954957730422,0.003469031446480703,0.2441573767023469,0.006843235283178416
xgb_0,0.7692971472905944,0.0037473250143922523,0.24392451295655604,0.007570138236617515
mlp_1,0.75392259477195,0.005804245216582833,0.22741763617115307,0.007231164158057019
mlp_0,0.7501339493974362,0.007215070836699332,0.22252358458015667,0.00967130114408516
