model,auc_roc,pr_auc,accuracy,recall,f1
winner_v2,0.7623490931509472,0.2921366247651866,0.7787246037424922,0.5627270784355631,0.3403787731885463
winner_v3_segmented,0.7642193648859069,0.296469208830476,0.8307855764435482,0.4406924556529173,0.3457411133467472
winner_v4_user_specific,0.7640522458846353,0.2947731933189087,0.8484355688544851,0.3908954904894208,0.3435386927122464
