challenger_model,auc_roc,pr_auc,accuracy,recall,precision,decision_disagreement_rate_vs_champion,mean_pd_shift_vs_champion
monotonic_xgb,0.7685844591500182,0.29741642828645454,0.8990004119777099,0.008121393460141057,0.6909090909090909,0.004314924434614801,0.020073808636146464
weighted_noise_robust_xgb,0.7676987990990716,0.296461385732836,0.8988052646414709,0.004701859371660611,0.6875,0.0039029467247772066,0.020654175414414652
