pd_core,pd_fused,y_true,emi_income_ratio,policy
0.18931843,0.19742224,0,0.2598888888888889,HOLD
0.3575772,0.33202925,0,0.26685,HOLD
0.4184881,0.38075796,0,0.18682,HOLD
0.47817737,0.42850938,0,0.11104444444444445,HOLD
0.64809257,0.56444156,0,0.14353333333333335,HOLD
0.5320937,0.47164246,0,0.28691666666666665,HOLD
0.2568506,0.25144798,0,0.2641428571428571,HOLD
0.11458244,0.13763344,0,0.06992,APPROVE
0.5293839,0.4694746,0,0.16848888888888888,HOLD
0.25913543,0.25327584,0,0.14637777777777777,HOLD
0.034220796,0.073344134,0,0.104,APPROVE
0.21689983,0.21948735,0,0.1,HOLD
0.17691211,0.18749718,0,0.40415384615384614,REJECT
0.40422866,0.36935043,0,0.05957777777777778,HOLD
0.21911804,0.22126193,0,0.4456,REJECT
0.7239125,0.6250975,0,0.19371428571428573,HOLD
0.5724205,0.5039039,0,0.10904,HOLD
0.57793987,0.50831944,0,0.092,HOLD
0.25889832,0.25308615,0,0.08037142857142857,HOLD
0.5270583,0.46761414,0,0.28510526315789475,HOLD
0.6012196,0.5269432,0,0.19330769230769232,HOLD
0.4160678,0.37882173,1,0.08472222222222223,HOLD
0.19079094,0.19860025,0,0.19641666666666666,HOLD
0.15109889,0.1668466,0,0.146925,HOLD
0.3568897,0.33147925,0,0.15,HOLD
0.08264803,0.11208593,0,0.14487692307692307,APPROVE
0.74598396,0.6427547,0,0.094975,HOLD
0.26674995,0.25936747,0,0.2293448275862069,HOLD
0.40085417,0.36665082,0,0.0956,HOLD
0.10729497,0.13180347,0,0.1785542168674699,APPROVE
0.10705665,0.13161281,0,0.218425,APPROVE
0.81778836,0.70019823,0,0.30238461538461536,REJECT
0.3113141,0.2950188,0,0.1,HOLD
0.38195115,0.3515284,0,0.16866666666666666,HOLD
0.17323029,0.18455173,0,0.12322222222222222,HOLD
0.27507994,0.26603144,1,0.10588235294117647,HOLD
0.103970535,0.12914392,0,0.23981818181818182,APPROVE
0.37373844,0.34495825,0,0.08411428571428571,HOLD
0.2985407,0.28480008,0,0.091375,HOLD
0.7488228,0.6450258,0,0.1375,HOLD
0.1908373,0.19863732,0,0.10714285714285714,HOLD
0.47999007,0.42995954,0,0.2195,HOLD
0.84283394,0.7202347,0,0.22672222222222221,REJECT
0.12606102,0.14681631,0,0.20255,APPROVE
0.8029589,0.68833464,0,0.16831428571428572,REJECT
0.4311281,0.39086998,0,0.18602222222222223,HOLD
0.022744292,0.06416293,0,0.075,APPROVE
0.29301777,0.2803817,0,0.2644666666666667,HOLD
0.116697274,0.13932532,0,0.16708571428571428,APPROVE
0.37829652,0.3486047,0,0.06666666666666667,HOLD
0.29227275,0.2797857,0,0.11697826086956521,HOLD
0.09633295,0.12303386,0,0.11604,APPROVE
0.07209759,0.10364557,0,0.2105,APPROVE
0.06337706,0.096669145,1,0.4318,REJECT
