candidate,dataset,model,n_rows,n_features,cv_auc_mean,cv_auc_std,val_best_f1,best_threshold,test_auc_roc,test_precision,test_recall,test_f1_score,test_accuracy,leaderboard_score
gmsc::catboost,gmsc,catboost,99999,24,0.8653688225158758,0.004323766344836451,0.40897097625329815,0.2,0.8625202451574484,0.3756875687568757,0.5123780945236309,0.4335131704220882,0.91075,0.6297222524184498
gmsc::xgboost,gmsc,xgboost,99999,24,0.8648607251011343,0.004589381620384791,0.3752212389380531,0.6000000000000003,0.8606365578644889,0.2723711961434167,0.6781695423855963,0.3886500429922614,0.8578,0.6270300725664373
home_credit::xgboost,home_credit,xgboost,200000,31,0.7450677013716958,0.005108060161269293,0.2988419872992155,0.6000000000000003,0.7501472783070255,0.21570236629736014,0.4856790883892824,0.29873082023110437,0.8149,0.517456198498934
home_credit::catboost,home_credit,catboost,200000,31,0.7461968729803654,0.004992348148787093,0.27738629083920563,0.2,0.7507026383797459,0.2957171991842284,0.2679396365876193,0.28114396509936984,0.888775,0.49265070391150534
