model,auc_roc,precision,recall,f1_score,accuracy,threshold
random_forest,0.8609659178066602,0.16424982053122755,0.8582145536384096,0.2757290913473126,0.6995,0.35
logistic_regression,0.8552661682857903,0.15891951186068834,0.8694673668417104,0.2687224669603524,0.6846,0.35
xgboost,0.8547734646202398,0.18124689928890358,0.822205551387847,0.2970189701897019,0.7406,0.35
